pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,pl_dens,pl_eqt,pl_insol,st_teff,st_mass,st_rad,st_lum,st_met,st_spectype,discoverymethod,disc_year,pl_orbincl,planet_type
HD 260655 c,HD 260655,5.70588,0.04749,0.038,0.00972223,0.13676533,4.7,557.0,16.1,3803.0,0.439,0.439,-1.43997,-0.43,M0 V,Transit,2022.0,87.79,EarthLike
TOI-521 b,TOI-521,1.54285047,0.0195,0.0,0.01667566,0.17664407,3.8,794.0,66.0,3544.0,0.42,0.421,-1.5986,-0.12,M3,Transit,2025.0,88.6,SuperEarth
KELT-9 b,KELT-9,1.4811235,0.03462,0.0,2.88,1.891,0.53,4050.0,44900.0,10170.0,2.52,2.362,1.72428,-0.03,B9.5-A0,Transit,2017.0,86.79,HotJupiter
K2-38 b,K2-38,4.01593,0.04994,0.197,0.02296837,0.13738983,11.0,1266.0,426.0,5731.0,1.03,1.06,0.03743,0.26,G2 V,Transit,2016.0,88.36,DesertWorld
K2-38 c,K2-38,10.56103,0.09514,0.161,0.02611472,0.20430047,3.8,916.0,117.0,5731.0,1.03,1.06,0.03743,0.26,G2 V,Transit,2016.0,87.68,DesertWorld
HD 332231 b,HD 332231,18.71204,0.1436,0.032,0.244,0.867,0.464,876.0,98.09,6089.0,1.127,1.277,0.30535,0.036,F8,Transit,2020.0,89.68,GasGiant
LTT 3780 b,LTT 3780,0.768377,0.01203,0.064,0.00736246,0.12043914,5.24,1000.0,116.0,3360.0,0.379,0.382,-1.77728,0.09,M3.5 V,Transit,2020.0,85.9,DesertWorld
KELT-18 b,KELT-18,2.8717518,0.0455,0.0,1.18,1.57,0.377,2085.0,3152.0,6670.0,1.524,1.908,0.81291,0.09,F4 V,Transit,2017.0,88.86,HotJupiter
LTT 3780 c,LTT 3780,12.252131,0.0762,0.115,0.01979055,0.21589831,2.45,397.0,2.88,3360.0,0.379,0.382,-1.77728,0.09,M3.5 V,Transit,2020.0,89.08,SuperEarth
TOI-1238 c,TOI-1238,3.294736,0.037,0.15,0.02617765,0.18824192,4.9,695.0,63.0,4089.0,0.59,0.58,-1.08249,0.31,K7/M0,Transit,2022.0,88.38,SuperEarth
TOI-1238 b,TOI-1238,0.764597,0.0139,0.25,0.01183028,0.10794916,11.7,1133.0,442.0,4089.0,0.59,0.58,-1.08249,0.31,K7/M0,Transit,2022.0,86.51,DesertWorld
TOI-406 c,TOI-406,3.307441,0.0322,0.032,0.00654441,0.11776272,4.9,584.0,19.0,3392.0,0.408,0.41,-1.71444,-0.02,M3,Transit,2024.0,87.6,EarthLike
TOI-406.01,TOI-406,13.175682,0.0809,0.056,0.02067153,0.18556549,4.1,368.0,3.0,3392.0,0.408,0.41,-1.71444,-0.02,M3,Transit,2024.0,89.4,SuperEarth
LHS 1140 b,LHS 1140,24.73712,0.0875,0.29,0.02092314,0.12757605,12.5,230.0,0.46,3131.0,0.146,0.186,-2.52564,-0.24,M4.5 V,Transit,2017.0,89.912,EarthLike
Qatar-5 b,Qatar-5,2.8792319,0.04127,0.0,4.32,1.107,3.95,1415.0,669.0,5747.0,1.128,1.076,0.05614,0.377,G2 V,Transit,2017.0,88.74,HotJupiter
Qatar-4 b,Qatar-4,1.8053564,0.02803,0.0,6.1,1.135,5.1,1385.0,614.0,5215.0,0.896,0.849,-0.31785,0.103,K1 V,Transit,2017.0,87.5,HotJupiter
TOI-4201 b,TOI-4201,3.5819194,0.04,0.041,2.48,1.22,1.82,725.0,45.2,3794.0,0.61,0.63,-1.11919,0.52,M1.0+/-0.5,Transit,2023.0,88.0,GasGiant
Kepler-278 b,Kepler-278,30.1556,0.202,0.696,0.1761957,0.35284207,5.0,586.0,110.0,4965.0,1.227,2.861,0.64933,0.22,K2 III-IV,Transit,2014.0,85.11,GasGiant
Qatar-3 b,Qatar-3,2.5079204,0.03783,0.0,4.31,1.096,4.0,1681.0,1330.0,6007.0,1.145,1.272,0.27875,-0.041,G0 V,Transit,2017.0,86.8,HotJupiter
GJ 1214 b,GJ 1214,1.58040433,0.0149,0.063,0.02570569,0.24462528,2.2,596.0,21.0,3250.0,0.178,0.215,-2.33724,0.29,M4 V,Transit,2009.0,88.7,MiniNeptune
TOI-1728 b,TOI-1728,3.49151,0.0391,0.057,0.08425888,0.45053082,1.14,767.0,57.78,3980.0,0.646,0.6243,-1.05552,0.25,M0,Transit,2020.0,88.31,MiniNeptune
TOI-2969 b,TOI-2969,1.8237146,0.0261,0.0,1.16,1.1,1.1,1186.0,382.0,4738.0,0.71,0.7,-0.58503,0.08,K3 V,Transit,2025.0,84.9,HotJupiter
Kepler-391 b,Kepler-391,7.4175,0.083,0.46,3.46098705,0.22303545,380.0,930.0,690.0,5038.0,1.27,2.879,0.66276,0.04,K2 III-IV,Transit,2014.0,85.5,GasGiant
TOI-1201 b,TOI-1201,2.4919863,0.0287,0.0,0.01975909,0.21545224,2.45,703.0,40.6,3476.0,0.512,0.508,-1.46852,0.05,M2.0 V,Transit,2021.0,88.11,SuperEarth
K2-140 b,K2-140,6.5693,0.0591,0.12,1.019,1.095,0.963,1114.0,188.5,5654.0,1.005,0.987,-0.04915,0.12,G5,Transit,2017.0,88.51,HotJupiter
TOI-2641 b,TOI-2641,4.880974,0.0607,0.18,0.386,1.615,0.092,1387.0,602.0,6100.0,1.16,1.336,0.34044,-0.15,F9 V,Transit,2023.0,83.75,HotJupiter
TOI-4666 b,TOI-4666,2.9089168,0.0333,0.0,0.7,1.11,0.64,713.0,54.0,3512.0,0.58,0.59,-1.22185,0.19,M2.5 V,Transit,2025.0,89.6,GasGiant
HATS-17 b,HATS-17,16.254611,0.1308,0.029,1.338,0.777,3.5,814.0,72.7,5846.0,1.131,1.091,0.09342,0.3,G V,Transit,2016.0,89.08,GasGiant
TOI-4603 b,TOI-4603,7.24599,0.0888,0.325,12.89,1.042,14.1,1677.0,1192.0,6264.0,1.765,2.738,1.01703,0.342,F,Transit,2023.0,80.21,HotJupiter
Kepler-391 c,Kepler-391,20.501,0.164,0.27,1.41585834,0.25693683,400.0,662.0,179.0,5038.0,1.27,2.879,0.66276,0.04,K2 III-IV,Transit,2014.0,87.27,GasGiant
TOI-238 c,TOI-238,8.465651,0.0749,0.36,0.02108056,0.19448691,1.83,696.0,58.3,5059.0,0.79,0.733,-0.47083,-0.114,K2V,Radial Velocity,2024.0,87.938,SuperEarth
HD 207897 b,HD 207897,16.202159,0.1163,0.047,0.04530747,0.22312466,5.05,632.2,26.5,5070.0,0.8,0.779,-0.4437,-0.042,K0 V,Transit,2021.0,88.757,MiniNeptune
TOI-622 b,TOI-622,6.402513,0.0708,0.42,0.303,0.824,0.507,1388.0,602.0,6400.0,1.313,1.415,0.47407,0.09,F6 V,Transit,2023.0,86.62,HotJupiter
TOI-615 b,TOI-615,4.6615983,0.0678,0.39,0.435,1.693,0.084,1666.0,1286.0,6850.0,1.449,1.732,0.7679,-0.1,F2 V,Transit,2023.0,86.73,HotJupiter
TOI-1117 b,TOI-1117,2.22816,0.033,0.0,0.02800253,0.21946688,3.3,1538.0,928.0,5635.0,0.97,1.05,-0.4437,0.136,G5 V,Transit,2025.0,88.2,DesertWorld
TOI-125 b,TOI-125,4.65382,0.05186,0.194,0.02989019,0.24319743,2.57,1037.0,185.0,5320.0,0.859,0.848,-0.28483,-0.02,K0 V,Transit,2019.0,88.92,MiniNeptune
TOI-125 c,TOI-125,9.15059,0.0814,0.066,0.02086021,0.24614149,1.73,827.8,77.59,5320.0,0.859,0.848,-0.28483,-0.02,K0 V,Transit,2019.0,88.54,MiniNeptune
Ross 176 b,Ross 176,5.0066338,0.0464,0.25,0.01437883,0.16415409,4.03,682.0,36.2,4041.0,0.577,0.569,-1.10891,-0.19,K7 V,Transit,2025.0,89.42,SuperEarth
TOI-4438 b,TOI-4438,7.44628,0.0534,0.14,0.0169903,0.22481973,1.85,435.0,6.0,3422.0,0.368,0.372,-1.76802,-0.19,M3.5 V,Transit,2024.0,89.34,MiniNeptune
GJ 3090 b,GJ 3090,2.85310198,0.0316,0.25,0.01422151,0.19448691,2.4,723.0,45.4,3707.0,0.519,0.516,-1.34199,0.12,M2 V,Transit,2022.0,86.9,SuperEarth
TOI-1431 b,TOI-1431,2.650237,0.046,0.0022,3.12,1.49,1.17,2370.0,5300.0,7690.0,1.9,1.92,1.06819,0.09,Am C,Transit,2021.0,80.13,HotJupiter
TOI-181 b,TOI-181,4.532,0.0539,0.1543,0.1452,0.6339,0.7562,895.1,102.43,4994.0,0.822,0.745,-0.52578,0.272,K,Transit,2023.0,88.28,GasGiant
TOI-125 d,TOI-125,19.98,0.137,0.168,0.04279017,0.26139709,2.98,638.1,26.7,5320.0,0.859,0.848,-0.28483,-0.02,K0 V,Transit,2020.0,88.795,MiniNeptune
TOI-4342 c,TOI-4342,10.688662,0.0804,0.0,0.01510249,0.2095641,2.01,514.0,11.6,3866.0,0.587,0.598,-1.12494,0.26,M0 V,Transit,2023.0,89.61,SuperEarth
TOI-4342 b,TOI-4342,5.5382592,0.0519,0.0,0.02296837,0.20777982,3.18,639.0,27.8,3866.0,0.587,0.598,-1.12494,0.26,M0 V,Transit,2023.0,88.83,SuperEarth
TOI-4336 A b,TOI-4336 A,16.336351,0.0849,0.0,0.01047735,0.1906507,1.87,309.4,1.53,3307.0,0.306,0.326,-1.95861,0.14,M3.5 V,Transit,2024.0,89.492,SuperEarth
GPX-1 b,GPX-1,1.744579,0.0338,0.0,19.7,1.47,8.222423,2300.0,4650.0,7000.0,1.68,1.56,0.72673,0.35,F2,Transit,2021.0,79.9,HotJupiter
TOI-1634 b,TOI-1634,0.989343,0.01545,0.16,0.01544859,0.15969338,4.7,924.0,121.0,3550.0,0.502,0.45,-1.5391,0.23,M2,Transit,2021.0,88.2,DesertWorld
TOI-1260 c,TOI-1260,7.49325,0.0656,0.0,0.03712695,0.25158398,2.87,643.0,28.4,4227.0,0.66,0.65,-0.85699,-0.1,K6 V,Transit,2021.0,88.12,MiniNeptune
TOI-4127 b,TOI-4127,56.39879,0.3081,0.7471,2.3,1.096,2.17,605.1,22.3,6096.0,1.23,1.293,0.31639,0.14,F V,Transit,2023.0,89.3,GasGiant
HD 95338 b,HD 95338,55.087,0.262,0.197,0.1335305,0.34704256,3.98,385.0,7.42,5212.0,0.83,0.87,-0.3098,0.04,K0.5 V,Radial Velocity,2020.0,89.57,MiniNeptune
WASP-193 b,WASP-193,6.2463345,0.0676,0.056,0.139,1.464,0.059,1254.0,413.0,6078.0,1.059,1.239,0.27416,-0.06,F9,Transit,2023.0,88.49,HotJupiter
TOI-4336 A c,TOI-4336 A,7.587266,0.05092,0.0,0.00487685,0.11160694,4.35,399.5,4.24,3307.0,0.306,0.326,-1.95861,0.14,M3.5 V,Transit,2026.0,89.64,EarthLike
TOI-1386 b,TOI-1386,25.83839,0.1732,0.061,0.148,0.54,1.16,676.4,34.68,5793.0,1.038,1.015,0.01662,0.164,G5V,Transit,2024.0,89.69,GasGiant
HATS-36 b,HATS-36,4.1752387,0.05425,0.105,3.216,1.235,2.12,1356.0,561.0,6149.0,1.222,1.155,0.21484,0.28,G0 V,Transit,2018.0,87.61,HotJupiter
GJ 486 b,GJ 486,1.4671205,0.01713,0.0,0.00943906,0.11981464,6.79,706.0,41.3,3291.0,0.333,0.339,-1.9165,-0.15,M3.5 V,Radial Velocity,2021.0,88.9,EarthLike
HATS-18 b,HATS-18,0.8378434,0.01761,0.166,1.98,1.337,1.02,2060.0,2990.0,5600.0,1.037,1.02,-0.03152,0.28,G V,Transit,2016.0,85.5,HotJupiter
TOI-3785 b,TOI-3785,4.6747373,0.043,0.11,0.04703796,0.45856088,0.61,582.0,19.1,3576.0,0.52,0.5,-1.43533,0.099,M2 V,Transit,2023.0,88.1,MiniNeptune
HAT-P-68 b,HAT-P-68,2.29840551,0.02996,0.041,0.724,1.072,0.727,1027.8,184.8,4508.0,0.6785,0.6701,-0.77911,-0.059,K,Transit,2020.0,88.73,HotJupiter
